Region,Founded_year,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Latitude,Longitude
South East England,1973.0,92,2004,80.98066584167877,4.5,17160,14140,0.505,0.805,"3,000-3,999",100-199,Private,Semesters,Rural,8000,51.9954,-0.9917
West Midlands,2005.0,92,2346,69.53796821226359,4.5,11120,11400,0.055999999999999994,0.828,"10,000-14,999",900-999,Public,Semesters,Suburban,8097,52.198,-2.242
South West England,1992.0,94,782,68.9,4.5,13000,12750,0.087,0.754,"15,000-19,999",900-999,Public,Semesters,Urban,8217,50.7435,-1.8983
South West England,2001.0,95,2073,70.25787303000826,4.5,11500,11500,0.037000000000000005,0.78,"8,000-8,999",600-699,Public,Semesters,Suburban,8217,51.8879,-2.0888
West Midlands,1992.0,96,573,74.04684575498017,4.5,13500,14500,0.09,0.783224,"25,000-29,999","1,500-1,999",Public,Semesters,Urban,6000,52.4833,-1.8848
Scotland,1993.0,96,1284,67.2,4.5,10467,11133,0.081,0.765,"15,000-19,999",700-799,Public,Trimesters,Urban,8000,55.8668,-4.25
South East England,1096.0,98,2190,69.87897575751106,4.5,11300,11650,0.061,0.785,"7,000-7,999",700-799,Public,Semesters,Suburban,10000,51.06,-1.3277
Scotland,1096.0,98,1066,68.74228394001949,5.5,10700,11400,0.09,0.813,"4,000-4,999",200-299,Public,Semesters,Urban,6500,56.4633,-2.9739
London,1966.0,100,578,73.5,4.5,13500,13500,0.20600000000000002,0.7340000000000001,"10,000-14,999","1,000-1,499",Public,Trimesters,Suburban,7000,51.5321,-0.4727
Scotland,1992.0,101,676,66.2,4.5,11250,12000,0.166,0.759,"10,000-14,999",800-899,Public,Trimesters,Urban,8000,55.9332,-3.2142
Wales,2010.0,102,1855,67.41614348627931,4.5,10000,11000,0.1559,0.7859999999999999,"10,000-14,999",700-799,Public,Semesters,Rural,7771,52.1144,-4.0754
East of England,1862.0,102,4547,67.41614348627931,5.5,10000,6000,0.1559,0.758,"2,000-2,999",100-199,Public,Semesters,Urban,7500,53.2439,-0.5366
South West England,1923.0,102,3916,65.99527871441484,6.0,9250,9250,0.1559,0.8270000000000001,"2,000-2,999",50-99,Private,Semesters,Urban,8217,50.4201,-4.11
Yorkshire and the Humber,1096.0,105,1392,68.6,4.5,12100,12650,0.149,0.783224,"9,000-9,999",500-599,Public,Semesters,Urban,8270,53.7915,-1.7661
London,1992.0,106,817,67.4,4.5,11300,12500,0.145,0.7829999999999999,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,10229,51.4032,-0.3035
London,1973.0,107,537,67.5,4.0,11200,13000,0.207,0.74,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,9000,51.5897,-0.2293
Scotland,1897.0,108,1905,66.9,4.5,11000,11000,0.052000000000000005,0.78,"15,000-19,999",600-699,Public,Trimesters,Urban,8000,55.7782,-4.1041
North East England,1992.0,109,1050,64.29024098817749,4.0,8350,9600,0.251,0.772,"10,000-14,999",900-999,Public,Continuous,Urban,8000,54.9046,-1.3915
South West England,1975.0,110,1334,69.87897575751106,4.5,11300,11300,0.07400000000000001,0.722,"7,000-7,999",600-699,Public,Semesters,Rural,8217,51.3749,-2.4394
North West England,1967.0,111,680,67.7,4.5,11795,12000,0.111,0.768,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,7471,53.4872,-2.2737
Wales,2011.0,112,1821,68.93173257626808,4.5,10800,12500,0.18,0.8,"10,000-14,999",700-799,Public,Semesters,Urban,7500,51.496,-3.2121
South East England,1096.0,113,2727,66.46890030503633,4.5,9500,10600,0.076,0.797,"10,000-14,999",400-499,Public,Semesters,Suburban,8990,51.6279,-0.7533
Wales,1841.0,114,1129,66.4,4.5,10100,10300,0.11800000000000001,0.795,"20,000-24,999","1,000-1,499",Public,Trimesters,Urban,7771,51.479,-3.1694
West Midlands,1096.0,115,5253,68.36338666752229,4.5,10500,10500,0.1559,0.812,"2,000-2,999",100-199,Public,Semesters,Suburban,10000,52.433,-1.9936
East Midlands,1096.0,116,1198,68.74228394001949,4.0,10700,10700,0.096,0.7390000000000001,"10,000-14,999",800-899,Public,Semesters,Suburban,9000,52.2305,-0.887
Yorkshire and the Humber,2012.0,117,3200,68.83700825814378,4.5,10750,11250,0.006999999999999999,0.748,"3,000-3,999",100-199,Public,Semesters,Suburban,7500,53.8483,-1.6453
South East England,2005.0,118,1578,69.31062984876527,4.5,11000,9500,0.057,0.757,"10,000-14,999",700-799,Public,Trimesters,Urban,8990,51.2795,1.0899
London,1838.0,119,801,66.9,5.5,12000,14000,0.21100000000000002,0.7509999999999999,"15,000-19,999","1,500-1,999",Public,Semesters,Urban,10229,51.517,-0.1432
East of England,1858.0,120,730,68.1,4.0,10500,10500,0.10400000000000001,0.79,"20,000-24,999",900-999,Public,Semesters,Urban,9415,52.2033,0.1345
